EntryCode,Description,StudentID,StudentName,GradeLevel,EntryDate,SSID,Gender,Ethnic,Race,BirthDate,Advisor
E1,E1-1st time enrolled this year,4171,"Cohen, Mackenzie ",0,8/17/2017,2426737,F,N,WH,5/7/2012,"Hull, Leah "
E1,E1-1st time enrolled this year,4056,"Crane, Laurence ",0,8/17/2017,2214804,M,N,WH,10/3/2011,"Hull, Leah "
E1,E1-1st time enrolled this year,4059,"Holmes, Autumn ",0,8/17/2017,2427315,F,N,WH,7/7/2012,"Hull, Leah "
E1,E1-1st time enrolled this year,3825,"Vance, Mirza ",0,8/17/2017,2310391,M,N,WH,7/20/2011,"Hull, Leah "
E1,E1-1st time enrolled this year,4067,"Cook, Ayaan ",0,8/17/2017,2427316,F,H,WH,4/17/2012,"Hull, Leah "
E1,E1-1st time enrolled this year,4068,"Eaton, Kezia ",0,8/17/2017,2435900,F,H,WH,12/9/2011,"Hull, Leah "
E1,E1-1st time enrolled this year,4152,"Hamer, Ifan ",0,8/17/2017,2427317,M,H,WH,6/13/2012,"Hull, Leah "
E1,E1-1st time enrolled this year,4164,"Mcloughlin, Inez ",0,8/17/2017,2435753,F,H,WH,7/3/2012,"Hull, Leah "
E1,E1-1st time enrolled this year,4072,"Fitzpatrick, Roland ",0,8/17/2017,2427324,M,N,WH,7/19/2011,"Hull, Leah "
E1,E1-1st time enrolled this year,3849,"Sharp, Ramone ",0,8/17/2017,2333072,M,H,WH,5/20/2011,"Hull, Leah "
E1,E1-1st time enrolled this year,4181,"Schwartz, Roan ",0,9/26/2017,2365090,M,N,WH,7/1/2012,"Hull, Leah "
E1,E1-1st time enrolled this year,4131,"Xiong, June ",0,8/17/2017,2365218,F,H,WH,2/21/2012,"Hull, Leah "
E1,E1-1st time enrolled this year,4075,"Elliott, Freddie ",0,8/17/2017,2435902,M,N,MU,10/22/2011,"Hull, Leah "
E1,E1-1st time enrolled this year,4077,"Hood, Jethro ",0,8/17/2017,2435903,M,N,WH,4/11/2012,"Hull, Leah "
E1,E1-1st time enrolled this year,4080,"Solomon, Ira ",0,8/17/2017,2435905,F,N,WH,1/5/2012,"Hull, Leah "
E1,E1-1st time enrolled this year,4155,"Holden, Shamima ",0,8/17/2017,2367005,F,N,AS,7/18/2012,"Hull, Leah "
E1,E1-1st time enrolled this year,4082,"York, Conall ",0,8/17/2017,2435907,M,N,WH,9/28/2011,"Hull, Leah "
E1,E1-1st time enrolled this year,4081,"Mckay, Cally ",0,8/17/2017,2435906,M,N,AS,9/25/2011,"Hull, Leah "
E1,E1-1st time enrolled this year,4090,"Stafford, Etienne ",0,8/17/2017,2435912,F,H,WH,5/16/2012,"Hull, Leah "
E1,E1-1st time enrolled this year,4098,"Rice, Rajan ",0,8/17/2017,2360452,M,N,WH,6/30/2012,"Hull, Leah "
E1,E1-1st time enrolled this year,4153,"George, Harris ",0,8/17/2017,2365226,F,H,WH,7/24/2012,"Hull, Leah "
E1,E1-1st time enrolled this year,4099,"O'Ryan, Kaiden ",0,8/17/2017,2435916,M,N,WH,12/25/2011,"Hull, Leah "
E1,E1-1st time enrolled this year,4107,"Vasquez, Herbie ",0,8/17/2017,2435917,M,N,WH,5/4/2012,"Hull, Leah "
E1,E1-1st time enrolled this year,4108,"Frame, Ronny ",0,8/17/2017,2435918,M,H,WH,6/11/2012,"Hull, Leah "
E1,E1-1st time enrolled this year,4091,"Martins, Kobi ",0,8/17/2017,2435913,F,N,WH,5/10/2012,"Hull, Leah "
E1,E1-1st time enrolled this year,4109,"Pugh, Faizaan ",0,8/17/2017,2435919,M,N,WH,3/29/2012,"Hull, Leah "
E1,E1-1st time enrolled this year,4110,"Sutherland, Heidi ",0,8/17/2017,2161302,F,N,WH,9/25/2011,"Hull, Leah "
E1,E1-1st time enrolled this year,3902,"Mckenna, Jayden-Lee ",0,8/17/2017,2333097,M,H,WH,5/26/2011,"Hull, Leah "
E1,E1-1st time enrolled this year,4144,"Hancock, Shea ",0,8/17/2017,2377065,M,N,WH,3/14/2012,"Hull, Leah "
E1,E1-1st time enrolled this year,4115,"Potts, Clay ",0,8/17/2017,2435923,M,N,WH,10/24/2011,"Hull, Leah "
E1,E1-1st time enrolled this year,4116,"Alcock, Kaeden ",0,8/17/2017,2435924,M,N,WH,6/21/2012,"Hull, Leah "
E1,E1-1st time enrolled this year,4120,"Seymour, April ",0,8/17/2017,2245826,F,N,WH,2/29/2012,"Hull, Leah "
E1,E1-1st time enrolled this year,4042,"Pitts, Azeem ",0,8/17/2017,2428867,M,H,WH,2/8/2012,"Hull, Leah "
E1,E1-1st time enrolled this year,4122,"Schultz, Kendal ",0,8/17/2017,2435927,M,N,WH,1/23/2012,"Hull, Leah "
E1,E1-1st time enrolled this year,4124,"Knights, Reece ",0,8/17/2017,2435929,F,N,WH,7/11/2012,"Hull, Leah "
E1,E1-1st time enrolled this year,4125,"Medrano, Bridie ",0,8/17/2017,2212841,F,N,MU,3/9/2012,"Hull, Leah "
E1,E1-1st time enrolled this year,4166,"Reid, Carys ",0,8/17/2017,2435754,F,N,WH,7/17/2012,"Hull, Leah "
E1,E1-1st time enrolled this year,4126,"Wynn, Safa ",0,8/17/2017,2435930,F,N,WH,10/5/2011,"Hull, Leah "
E1,E1-1st time enrolled this year,4127,"Bassett, Chaya ",0,8/17/2017,2435931,F,H,WH,4/1/2012,"Hull, Leah "
E1,E1-1st time enrolled this year,4047,"Rees, Milton ",0,8/17/2017,2428868,M,N,WH,2/22/2012,"Colley, Alex "
E1,E1-1st time enrolled this year,4048,"Thorpe, Ryley ",0,8/17/2017,2365147,F,N,WH,10/7/2011,"Colley, Alex "
E1,E1-1st time enrolled this year,4173,"Mueller, Murray ",0,8/17/2017,2284026,M,H,WH,3/6/2012,"Colley, Alex "
E1,E1-1st time enrolled this year,4052,"Hunter, Sabiha ",0,8/17/2017,2435894,F,H,IN,10/13/2011,"Colley, Alex "
E1,E1-1st time enrolled this year,4061,"Huerta, Kaydan ",0,8/17/2017,2435896,M,H,MU,10/11/2011,"Colley, Alex "
E1,E1-1st time enrolled this year,4063,"Hopkins, Kobi ",0,8/17/2017,2435897,M,N,WH,8/22/2012,"Colley, Alex "
E1,E1-1st time enrolled this year,4064,"Howard, Esmae ",0,8/17/2017,2435898,F,N,WH,11/9/2011,"Colley, Alex "
E1,E1-1st time enrolled this year,4139,"Davidson, Shannen ",0,8/17/2017,2435749,F,H,WH,10/26/2011,"Colley, Alex "
E1,E1-1st time enrolled this year,4065,"Vazquez, Khloe ",0,8/17/2017,2435899,F,N,WH,3/2/2012,"Colley, Alex "
E1,E1-1st time enrolled this year,4070,"Juarez, Sami ",0,8/17/2017,2435901,M,N,WH,12/17/2011,"Colley, Alex "
E1,E1-1st time enrolled this year,4176,"Jackson, Kasim ",0,8/22/2017,2435082,M,N,WH,5/17/2012,"Colley, Alex "
E1,E1-1st time enrolled this year,4149,"Easton, Evie-May ",0,8/17/2017,2366999,F,H,WH,7/5/2012,"Colley, Alex "
E1,E1-1st time enrolled this year,4133,"Simons, Clyde ",0,8/17/2017,2406911,M,N,WH,3/11/2012,"Colley, Alex "
E1,E1-1st time enrolled this year,4163,"Fowler, Macey ",0,8/17/2017,2247349,M,H,MU,11/27/2011,"Colley, Alex "
E1,E1-1st time enrolled this year,4078,"Enriquez, Trevor ",0,8/17/2017,2435904,M,N,WH,9/7/2011,"Colley, Alex "
E1,E1-1st time enrolled this year,4083,"Stephens, August ",0,8/17/2017,2435908,F,H,WH,8/2/2012,"Colley, Alex "
E1,E1-1st time enrolled this year,4129,"Leech, Mila-Rose ",0,8/17/2017,2435933,F,N,WH,9/5/2011,"Colley, Alex "
E1,E1-1st time enrolled this year,4084,"Snow, Freya ",0,8/17/2017,2435909,F,N,WH,12/12/2011,"Colley, Alex "
E1,E1-1st time enrolled this year,4085,"Bone, Caiden ",0,8/17/2017,2435910,M,N,MU,7/7/2012,"Colley, Alex "
